성별,생일,결혼유무,종교유무,직업코드,소득,지역코드,나이,직업,연령대
남성,1948,무응답,없음,942.0,120.0,서울,52,경비원 및 검표원,중년
남성,1942,이혼,있음,762.0,200.0,서울,58,전기공,중년
남성,1962,결혼,있음,530.0,241.61901596892534,서울,38,방문 노점 및 통신 판매 관련 종사자,중년
남성,1962,무응답,없음,999.0,40.0,서울,38,기타 서비스관련 단순 종사원,중년
남성,1978,결혼,없음,312.0,350.0,서울,22,경영관련 사무원,청년
여성,1975,결혼,없음,254.0,200.0,서울,25,문리 기술 및 예능 강사,청년
여성,1942,결혼,있음,510.0,150.0,서울,58,영업 종사자,중년
남성,1964,무응답,없음,530.0,241.61901596892534,서울,36,방문 노점 및 통신 판매 관련 종사자,중년
남성,1975,무응답,있음,286.0,241.61901596892534,서울,25,스포츠 및 레크레이션 관련 전문가,청년
남성,1978,결혼,없음,521.0,241.61901596892534,서울,22,매장 판매 종사자,청년
남성,1961,결혼,없음,773.0,241.61901596892534,서울,39,건축마감관련 기능 종사자,중년
여성,1986,무응답,없음,314.0,170.0,서울,14,비서 및 사무 보조원,청년
여성,1962,결혼,없음,941.0,120.0,서울,38,청소원 및 환경 미화원,중년
여성,1985,무응답,없음,314.0,120.0,서울,15,비서 및 사무 보조원,청년
남성,1952,결혼,없음,773.0,200.0,서울,48,건축마감관련 기능 종사자,중년
여성,1961,이혼,있음,951.0,241.61901596892534,서울,39,가사 및 육아 도우미,중년
남성,1968,무응답,없음,274.0,241.61901596892534,광주/전남/전북/제주도,32,기술영업 및 중개 관련 종사자,중년
남성,1971,이혼,없음,873.0,250.0,광주/전남/전북/제주도,29,자동차 운전원,청년
여성,1974,결혼,있음,320.0,417.0,서울,26,금융 및 보험관련 사무 종사자,청년
남성,1980,무응답,없음,952.0,150.0,서울,20,음식관련 단순 종사원,청년
남성,1966,결혼,있음,312.0,400.0,서울,34,경영관련 사무원,중년
남성,1955,결혼,없음,151.0,241.61901596892534,서울,45,판매 및 운송 관리자,중년
남성,1985,무응답,없음,152.0,190.0,서울,15,고객서비스 관리자,청년
남성,1972,결혼,없음,312.0,217.0,서울,28,경영관련 사무원,청년
여성,1973,결혼,없음,314.0,100.0,서울,27,비서 및 사무 보조원,청년
남성,1976,결혼,없음,772.0,241.61901596892534,수도권,24,건설관련 기능 종사자,청년
여성,1937,이혼,있음,941.0,20.0,서울,63,청소원 및 환경 미화원,노년
남성,1973,결혼,없음,510.0,274.2,서울,27,영업 종사자,청년
남성,1959,결혼,없음,852.0,179.9,서울,41,냉 난방 관련 설비 조작원,중년
여성,1958,결혼,있음,442.0,100.0,서울,42,음식서비스 종사자,중년
남성,1982,무응답,있음,530.0,180.0,서울,18,방문 노점 및 통신 판매 관련 종사자,청년
남성,1968,결혼,있음,312.0,885.0,서울,32,경영관련 사무원,중년
남성,1973,결혼,있음,312.0,583.3,서울,27,경영관련 사무원,청년
여성,1975,결혼,있음,521.0,30.0,서울,25,매장 판매 종사자,청년
남성,1950,결혼,있음,991.0,248.5,대전/충남,50,농립어업관련 단순 종사원,중년
여성,1956,결혼,있음,991.0,241.61901596892534,대전/충남,44,농립어업관련 단순 종사원,중년
여성,1962,이혼,있음,422.0,156.4,서울,38,이 미용 및 관련 서비스 종사자,중년
여성,1991,무응답,있음,422.0,100.0,서울,9,이 미용 및 관련 서비스 종사자,청년
여성,1982,무응답,있음,313.0,200.0,대전/충남,18,회계 및 경리 사무원,청년
여성,1985,무응답,있음,710.0,216.66,대전/충남,15,식품가공관련 기능 종사자,청년
여성,1957,무응답,없음,999.0,291.1,대전/충남,43,기타 서비스관련 단순 종사원,중년
여성,1986,무응답,없음,522.0,120.0,서울,14,상품 대여 종사자,청년
남성,1973,결혼,없음,399.0,241.61901596892534,서울,27,고객 상담 및 기타 사무원,청년
남성,1975,무응답,없음,753.0,218.2,서울,25,기계장비 설치 및 정비원,청년
남성,1947,결혼,있음,851.0,140.0,서울,53,금속공작기계 조작원,중년
